Sample ID,Latency (seconds)
1_1729298547078_194,0.5621979236602783
1_1729298548091_3710,0.5568873882293701
1_1729298549094_6138,0.5555412769317627
1_1729298550097_3414,0.5725462436676025
1_1729298551100_4500,0.5675449371337891
1_1729298552103_8459,0.5801541805267334
1_1729298553105_976,0.601621150970459
1_1729298554107_1814,0.5925121307373047
1_1729298555108_3667,0.6060299873352051
1_1729298556111_4830,0.5870234966278076
1_1729298557114_3489,0.6145632266998291
1_1729298558116_2688,0.621281623840332
1_1729298559118_4712,0.6204240322113037
1_1729298560121_2245,0.5716578960418701
1_1729298561124_4631,0.563776969909668
1_1729298562126_6805,0.5376684665679932
1_1729298563128_3541,0.5311892032623291
1_1729298564131_6365,0.5479946136474609
1_1729298565134_5597,0.5711064338684082
1_1729298566138_6175,0.5262203216552734
1_1729298567140_5517,0.5518755912780762
1_1729298568143_5614,0.5343599319458008
1_1729298569145_2334,0.5359256267547607
1_1729298570148_8650,0.5384812355041504
1_1729298571150_4575,0.6063680648803711
1_1729298572152_1686,0.5562169551849365
1_1729298573155_3593,0.6021842956542969
1_1729298574157_7915,0.5871167182922363
1_1729298575159_4111,0.5701837539672852
1_1729298576162_8366,0.5507981777191162
1_1729298577165_1189,0.5522937774658203
1_1729298578169_6279,0.5433850288391113
1_1729298579171_8906,0.545903205871582
1_1729298580173_244,0.5351214408874512
1_1729298581175_3409,0.5699541568756104
1_1729298582179_3700,0.5639681816101074
1_1729298583180_2366,0.562941312789917
1_1729298584183_9878,0.548236608505249
1_1729298585185_1303,0.5699939727783203
1_1729298586189_7110,0.6006526947021484
1_1729298587192_1385,0.5384805202484131
1_1729298588194_2295,0.5431253910064697
1_1729298589197_2793,0.5282473564147949
1_1729298590199_1154,0.5456864833831787
1_1729298591201_8614,0.525374174118042
1_1729298592203_1887,0.5411171913146973
